key,collection_date,Calibration Log Reviewed and Calibration Confirmed [f:5509],Comments [f:5494],Conductivity [p:3545],Dissolved oxygen (DO) [p:3546],Kit [f:5495],Site Condition - Base Flow [f:5504],Site Condition - Dry Ground [f:5506],Site Condition - Greatly Elevated Flow [f:5493],Site Condition - Muddy/Wet Ground [f:5507],Site Condition - Slightly Elevated Flow [f:5503],Site Condition - Snow/Ice On Ground [f:5505],Site Conditions - Other [f:5508],"Temperature, water [p:3547]",Volunteer Lead [f:5502],Weather - Broken Clouds (50-90% Cover) [f:5515],Weather - Fog [f:5510],Weather - Heavy Precipitation [f:5511],Weather - Light Precipitation [f:5513],Weather - Moderate Precipitation [f:5512],Weather - Overcast (90-100% Cover) [f:5514],Weather - Scattered Clouds (10-50% Cover) [f:5516],pH [p:3544],latitude,longitude,owner_id,owner_first_name,owner_last_name,certified,certifier_id,certifier_first_name,certifier_last_name,dataset_id,dataset_name,dataset_key,station_id,station_name
6bbfbd86770f0f13af9cfbc9a92a253d,2003-05-27,,,760.0,8.42,,,,,,,,,15.3,,,,,,,,,7.88,42.38673,-83.91101,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH01,N. Territorial Rd.
4954bf839864c5ffb8a5935f7e181390,2003-05-27,,,805.0,8.8,,,,,,,,,8.5,,,,,,,,,7.65,42.290259,-83.908518,4297,Water Reporter,Support,True,3208,Andrea,Paine,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH02A,Jackson Road
5c6755cd51b464bc360d2f2ae04fffcb,2003-05-28,yes,,1260.0,6.16,,,,,,,,,13.1,Ric Lawson,,,,,,,,7.5,42.260992,-83.676586,4297,Water Reporter,Support,True,3208,Andrea,Paine,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH09,Shetland Dr.
bcbaf6e608e38c40b52eb71ecb5c8e41,2003-05-28,,,820.0,9.89,,,,,,,,,12.4,,,,,,,,,7.8,42.273328,-83.66399,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH06,Geddes Road
9ae2989f76e02d06a7c651068d6e9dfe,2003-05-29,,,1030.0,8.3,,,,,,,,,13.8,,,,,,,,,7.95,42.29102,-83.73608,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH05A,Nielson Ct.
500b062f93393638e9e3365592a5f4e4,2003-05-29,,,1300.0,8.89,,,,,,,,,12.6,,,,,,,,,7.86,42.28994,-83.74597,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH04,Main St.
aedaa0dab81d90679a1e36cdd718f8e0,2003-05-30,,,1200.0,8.6,,,,,,,,,13.5,,,,,,,,,7.9,42.317638,-83.796116,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH03,Wagner Road
554657ad0149eb2b7dc2e161cee6c0bc,2003-06-02,,,1610.0,8.8,,,,,,,,,10.2,,,,,,,,,7.9,42.279082,-83.695631,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH08A,Meadows
b8f7fa18188fd3c797cc6b3b71926135,2003-06-02,,,1410.0,8.0,,,,,,,,,13.2,,,,,,,,,7.83,42.265596,-83.689378,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH07,Chalmers
8f13176081c2f9e73214210f6db75c5b,2003-06-03,,,680.0,8.7,,,,,,,,,12.2,,,,,,,,,7.57,42.26079,-83.61227,4297,Water Reporter,Support,True,1216,Water Reporter,Team,1421,HRWC Lake Erie Baseline Assessment Framework,5HytTWFThQ0B,MH10,Clark Rd.
